Sno,Weight
0,-0.0020276457
1,0.10906119
2,0.111832894
3,0.08079897
4,0.08734337
5,0.09161791
6,0.0759553
7,0.08132447
8,0.04256234
9,0.0956307
10,-0.012630521
11,0.075021625
12,-0.018917363
13,-0.0036366137
14,0.09775023
15,0.09022501
16,0.0966615
17,0.067205176
18,-0.019544953
19,0.09943937
20,0.056479897
21,0.05631668
22,0.06821681
23,0.05689357
24,0.10206455
25,0.11196025
26,0.08162538
27,0.04531326
28,0.11013284
29,0.053062662
30,0.11486839
31,0.10493917
32,0.07188449
33,0.11933795
34,0.10623157
35,0.06869785
36,0.09926409
37,0.08511998
38,-0.008108691
39,0.02722993
40,0.091821894
41,-0.004747139
42,0.08430662
43,0.10276628
44,0.11588327
45,0.10715067
46,-0.04694459
47,0.088308685
48,0.09392932
49,0.093289666
50,0.06361205
51,0.086622305
52,0.09728155
53,-0.041455902
54,-0.00012338287
55,0.08133435
56,0.08889618
57,0.07732816
58,0.08044494
59,0.050914846
60,0.09777663
61,0.02766186
62,0.101990245
63,0.014599601
64,0.040653657
65,0.015208809
66,0.06520536
67,-0.015731227
68,0.10800256
69,0.097633846
70,0.082044624
71,0.07783732
72,0.039494626
73,-0.008048132
74,0.08082758
75,-0.01910438
76,0.07502176
77,0.048779353
78,-0.012458372
79,0.004541693
80,0.120145075
81,-0.006852293
82,0.10305253
83,0.104963966
84,-0.014552871
85,0.09923205
86,0.10337898
87,0.060215294
88,0.10756002
89,0.050797306
90,0.11322899
91,-0.019849451
92,-0.011173969
93,0.107069895
94,0.09200931
95,0.09432287
96,-0.01573033
97,0.09190876
98,0.041064993
99,-0.030170206
100,0.0065342486
101,0.1129821
102,0.11040058
103,0.11049218
104,0.094864056
105,0.114128195
106,0.1033775
107,0.10854346
108,0.052284326
109,0.063271046
110,0.040341005
111,0.41164997
112,0.11346834
113,0.1205977
114,-0.02827156
115,0.1216505
116,0.1264854
117,0.078202136
118,0.08415378
119,0.083136596
120,-0.02029069
121,0.11586396
122,0.111502424
123,0.093423255
124,0.0963606
125,-0.017925989
126,0.067772225
127,0.110293455
128,0.062487427
129,0.041032676
130,-0.01260085
131,0.031985287
132,0.08942632
133,0.0977373
134,0.103229955
135,0.0015311799
136,0.10140589
137,0.1135239
138,0.07779388
139,0.11241839
140,0.05650291
141,0.09896622
142,0.08433932
143,0.06824416
144,0.028317215
145,0.08659969
146,0.0891554
147,0.097077504
148,0.12830214
149,0.059605397
150,0.07497933
151,-0.0043141376
152,0.09967192
153,0.10276193
154,0.025093412
155,0.064770564
156,-0.013480186
157,0.00044641475
158,0.096688725
159,0.084287085
160,-0.047416613
161,-0.015620039
162,0.11265821
163,0.08262991
164,0.015387997
165,0.07444915
166,0.08853016
167,0.043670837
168,0.099162735
169,0.09332964
170,0.12031248
171,-0.011818106
172,-0.017680375
173,0.103896685
174,0.053897534
175,0.082963854
176,-0.04856505
177,0.11127915
178,0.09150684
179,0.073593035
180,-0.0033793326
181,0.09858579
182,0.05232038
183,0.08604612
184,0.07362891
185,0.10010211
186,0.09451991
187,0.061985362
188,0.109454125
189,0.08594812
190,0.0115825
191,-0.020580841
192,0.005635407
193,0.10152033
194,-0.02790498
195,0.079939604
196,-0.012490103
197,0.10693861
198,0.11422371
199,0.034582008
200,0.11916593
201,0.09676376
202,0.10889677
203,0.05513699
204,0.07102551
205,0.03107504
206,0.09309783
207,0.08418559
208,-0.020476667
209,0.044166017
210,0.096011706
211,-0.01438895
212,0.08746385
213,0.023390999
214,0.055208318
215,0.09455477
216,0.078697585
217,0.05706291
218,0.10084115
219,0.01021718
220,0.003624516
221,0.08695843
222,0.09737401
223,0.09428198
224,0.016901836
225,0.11057979
226,0.116222315
227,0.11418274
228,0.05359516
229,0.050980203
230,0.11512316
231,-0.0076832375
232,0.11988621
233,0.06122444
234,0.08008966
235,0.030038247
236,0.11267249
237,-0.028462302
238,0.10670239
239,0.07703771
240,0.08472046
241,-0.01158388
242,0.058546457
243,0.06277671
244,-0.016391745
245,0.09599029
246,0.057697162
247,-0.052869905
248,0.07433588
249,0.045088533
250,-0.005603745
251,0.06881281
252,0.09702954
253,-0.022560658
254,0.10459046
255,0.030086141
